"TOTAL","TRUST_LEVEL","IDENTITY_STATUS"
3,"Registed Customer Bulk Creation","Active"
1,"Registed Customer Bulk Creation","Closed"
1,"Registed Customer Bulk Creation","Pending Active"
1721296,"Registered Customer Level 1","Active"
20731,"Registered Customer Level 1","Closed"
9,"Registered Customer Level 1","Frozen"
356345,"Registered Customer Level 1","Pending Active"
8,"Registered Customer Level 1","Suspended"
2,"Registered Customer Level 2","Closed"
6287,"Registered Customer Level 3","Active"
39,"Registered Customer Level 3","Closed"
1,"Registered Customer Level 3","Frozen"
93,"Registered Customer Level 3","Pending Active"
33590,"Registered Customer Level 4","Active"
36,"Registered Customer Level 4","Closed"
348,"Registered Customer Level 4","Frozen"
830,"Registered Customer Level 4","Pending Active"
2,"Registered Customer Level 4","Suspended"
