"TOTAL_ALOUNT_AOA","TRANSACTION_TYPE","STATUS","DATA"
98160120,"Airtime Purchase","Completed","20240311"
206094526,"Business to Business Transfer","Completed","20240311"
33111463,"Cash In","Completed","20240311"
6124400,"Cash Out","Completed","20240311"
16056045,"E-money Deposit","Completed","20240311"
281839,"Incentive Rule Cash Back","Completed","20240311"
6885229,"Pay Bill","Completed","20240311"
14590450,"Pay Merchant","Completed","20240311"
3414891,"Send Money","Completed","20240311"
68342360,"Airtime Purchase","Completed","20240310"
76543699,"Business to Business Transfer","Completed","20240310"
17165228,"Cash In","Completed","20240310"
919700,"Cash Out","Completed","20240310"
229206,"Incentive Rule Cash Back","Completed","20240310"
4143531,"Pay Bill","Completed","20240310"
10020497,"Pay Merchant","Completed","20240310"
1800257,"Send Money","Completed","20240310"
71112211,"Airtime Purchase","Completed","20240309"
130593835,"Business to Business Transfer","Completed","20240309"
22424379,"Cash In","Completed","20240309"
3099260,"Cash Out","Completed","20240309"
223637,"Incentive Rule Cash Back","Completed","20240309"
5971818,"Pay Bill","Completed","20240309"
13587550,"Pay Merchant","Completed","20240309"
2405790,"Send Money","Completed","20240309"
110266890,"Airtime Purchase","Completed","20240308"
190515870,"Business to Business Transfer","Completed","20240308"
29150670,"Cash In","Completed","20240308"
1232079,"Cash Out","Completed","20240308"
344733,"Incentive Rule Cash Back","Completed","20240308"
7808700,"Pay Bill","Completed","20240308"
11794942,"Pay Merchant","Completed","20240308"
2363165,"Send Money","Completed","20240308"
112038020,"Airtime Purchase","Completed","20240307"
209662068,"Business to Business Transfer","Completed","20240307"
38585074,"Cash In","Completed","20240307"
5816350,"Cash Out","Completed","20240307"
21569316,"E-money Deposit","Completed","20240307"
362556,"Incentive Rule Cash Back","Completed","20240307"
7851579,"Pay Bill","Completed","20240307"
20146780,"Pay Merchant","Completed","20240307"
5086442,"Send Money","Completed","20240307"
113666640,"Airtime Purchase","Completed","20240306"
188486720,"Business to Business Transfer","Completed","20240306"
38333740,"Cash In","Completed","20240306"
5678150,"Cash Out","Completed","20240306"
15659119,"E-money Deposit","Completed","20240306"
380070,"Incentive Rule Cash Back","Completed","20240306"
8912963,"Pay Bill","Completed","20240306"
16161621,"Pay Merchant","Completed","20240306"
3942357,"Send Money","Completed","20240306"
112910220,"Airtime Purchase","Completed","20240305"
210650065,"Business to Business Transfer","Completed","20240305"
41334088,"Cash In","Completed","20240305"
5005045,"Cash Out","Completed","20240305"
55322796,"E-money Deposit","Completed","20240305"
362126,"Incentive Rule Cash Back","Completed","20240305"
9186750,"Pay Bill","Completed","20240305"
17469863,"Pay Merchant","Completed","20240305"
3341355,"Send Money","Completed","20240305"
121822970,"Airtime Purchase","Completed","20240304"
226403985,"Business to Business Transfer","Completed","20240304"
42707425,"Cash In","Completed","20240304"
7568051,"Cash Out","Completed","20240304"
37623492,"E-money Deposit","Completed","20240304"
385974,"Incentive Rule Cash Back","Completed","20240304"
9876174,"Pay Bill","Completed","20240304"
16930316,"Pay Merchant","Completed","20240304"
3996460,"Send Money","Completed","20240304"
